Device Name,URL
Xiaomi 17 Pro Max,https://www.gsmarena.com/xiaomi_17_pro_max_5g-14181.php
Xiaomi 17 Pro,https://www.gsmarena.com/xiaomi_17_pro_5g-14182.php
Xiaomi 17,https://www.gsmarena.com/xiaomi_17_5g-14134.php
Xiaomi Pad 8 Pro,https://www.gsmarena.com/xiaomi_pad_8_pro-14183.php
Realme Watch 5,https://www.gsmarena.com/realme_watch_5-14109.php
Xiaomi Pad 8,https://www.gsmarena.com/xiaomi_pad_8-14184.php
vivo V60 Lite,https://www.gsmarena.com/vivo_v60_lite_5g-14180.php
vivo V60 Lite 4G,https://www.gsmarena.com/vivo_v60_lite-14172.php
Xiaomi Pad Mini,https://www.gsmarena.com/xiaomi_pad_mini-14179.php
Samsung Galaxy Tab A11+,https://www.gsmarena.com/samsung_galaxy_tab_a11+-14192.php
vivo V60e,https://www.gsmarena.com/vivo_v60e_5g-14194.php
Samsung Galaxy M07,https://www.gsmarena.com/samsung_galaxy_m07-14100.php
Realme 15x (India),https://www.gsmarena.com/realme_15x_5g_(india)-14173.php
Huawei nova 14i,https://www.gsmarena.com/huawei_nova_14i-14193.php
Honor X6b,https://www.gsmarena.com/honor_x6b_5g-14195.php
vivo iQOO 15,https://www.gsmarena.com/vivo_iqoo_15_5g-14198.php
Honor X5c Plus,https://www.gsmarena.com/honor_x5c_plus-14156.php
Doogee Note 58,https://www.gsmarena.com/doogee_note_58-14199.php
Doogee V Max LR,https://www.gsmarena.com/doogee_v_max_lr_5g-14203.php
Doogee S200 Ultra,https://www.gsmarena.com/doogee_s200_ultra_5g-14204.php
OnePlus 15,https://www.gsmarena.com/oneplus_15_5g-14206.php
Samsung Galaxy F07,https://www.gsmarena.com/samsung_galaxy_f07-14205.php
HMD Touch 4G,https://www.gsmarena.com/hmd_touch_4g-14208.php
itel A90 Limited,https://www.gsmarena.com/itel_a90_limited-14209.php
itel A95,https://www.gsmarena.com/itel_a95_5g-14210.php
itel A100,https://www.gsmarena.com/itel_a100-14211.php
HMD Ivalo XE,https://www.gsmarena.com/hmd_ivalo_xe_5g-14207.php
Realme 15 Lite,https://www.gsmarena.com/realme_15_lite_5g-14159.php
